col	group
Altay_sheep1	FatRumpTail
Altay_sheep10	FatRumpTail
SRR11657487	FatRumpTail
SRR11657488	FatRumpTail
SRR11657489	FatRumpTail
SRR11657490	FatRumpTail
SRR11657491	FatRumpTail
SRR11657492	FatRumpTail
SRR11657493	FatRumpTail
SRR11657494	FatRumpTail
SRR11657495	FatRumpTail
Altay_sheep2	FatRumpTail
SRR11657496	FatRumpTail
SRR18286674	FatRumpTail
SRR18286675	FatRumpTail
SRR18286676	FatRumpTail
SRR18286677	FatRumpTail
SRR18286678	FatRumpTail
SRR18286679	FatRumpTail
SRR18286680	FatRumpTail
SRR18286681	FatRumpTail
SRR18286683	FatRumpTail
Altay_sheep3	FatRumpTail
SRR18286684	FatRumpTail
SRR18286685	FatRumpTail
SRR18286686	FatRumpTail
SRR18286687	FatRumpTail
SRR18286688	FatRumpTail
SRR18286689	FatRumpTail
SRR18286690	FatRumpTail
SRR18286691	FatRumpTail
SRR18286692	FatRumpTail
SRR18286694	FatRumpTail
Altay_sheep4	FatRumpTail
SRR18286695	FatRumpTail
SRR18286696	FatRumpTail
SRR18286707	FatRumpTail
SRR18286718	FatRumpTail
SRR18286729	FatRumpTail
SRR18286740	FatRumpTail
SRR18286751	FatRumpTail
SRR18286762	FatRumpTail
SRR18286773	FatRumpTail
Altay_sheep5	FatRumpTail
Altay_sheep6	FatRumpTail
Altay_sheep7	FatRumpTail
Altay_sheep8	FatRumpTail
Altay_sheep9	FatRumpTail
SRR8560897	FatRumpTail
SRR8560898	FatRumpTail
SRR8561000	FatRumpTail
SRR8561001	FatRumpTail
SRR8560895	FatRumpTail
C05823085	LongFatTail
C06704825	LongFatTail
C05823283	LongFatTail
C05823292	LongFatTail
C05823825	LongFatTail
C05823979	LongFatTail
C05823989	LongFatTail
C05823997	LongFatTail
C05824139	LongFatTail
C05824295	LongFatTail
Large-tailed_Han_sheep1	LongFatTail
Large-tailed_Han_sheep10	LongFatTail
Large-tailed_Han_sheep2	LongFatTail
Large-tailed_Han_sheep3	LongFatTail
Large-tailed_Han_sheep4	LongFatTail
Large-tailed_Han_sheep5	LongFatTail
Large-tailed_Han_sheep6	LongFatTail
Large-tailed_Han_sheep7	LongFatTail
Large-tailed_Han_sheep8	LongFatTail
Large-tailed_Han_sheep9	LongFatTail
Lanzhou_Large-tailed_sheep1	LongFatTail
Lanzhou_Large-tailed_sheep10	LongFatTail
Lanzhou_Large-tailed_sheep2	LongFatTail
Lanzhou_Large-tailed_sheep3	LongFatTail
Lanzhou_Large-tailed_sheep4	LongFatTail
Lanzhou_Large-tailed_sheep5	LongFatTail
Lanzhou_Large-tailed_sheep6	LongFatTail
