CHROM	pos	WEIGHTED_FST	GROUP	POS
15	2025000	0.0215828	fei_shou	2.025
15	2100000	0.0246934	fei_shou	2.1
15	2175000	0.0205789	fei_shou	2.175
15	2250000	0.0122274	fei_shou	2.25
15	2325000	0.00549998	fei_shou	2.325
15	2400000	0.0125995	fei_shou	2.4
15	2475000	0.0194274	fei_shou	2.475
15	2550000	0.0158063	fei_shou	2.55
15	2625000	0.0158503	fei_shou	2.625
15	2700000	0.0250772	fei_shou	2.7
15	2775000	0.0332212	fei_shou	2.775
15	2850000	0.0246862	fei_shou	2.85
15	2925000	0.0109236	fei_shou	2.925
15	3e+06	0.010193	fei_shou	3
15	3075000	0.00799167	fei_shou	3.075
15	3150000	0.011891	fei_shou	3.15
15	3225000	0.0217618	fei_shou	3.225
15	3300000	0.0144425	fei_shou	3.3
15	3375000	0.00887957	fei_shou	3.375
15	3450000	0.0104602	fei_shou	3.45
15	3525000	0.020994	fei_shou	3.525
15	3600000	0.0415196	fei_shou	3.6
15	3675000	0.0459693	fei_shou	3.675
15	3750000	0.167247	fei_shou	3.75
15	3825000	0.265821	fei_shou	3.825
15	3900000	0.26957	fei_shou	3.9
15	3975000	0.356724	fei_shou	3.975
15	4050000	0.365012	fei_shou	4.05
15	4125000	0.425146	fei_shou	4.125
15	4200000	0.447022	fei_shou	4.2
15	4275000	0.385187	fei_shou	4.275
15	4350000	0.317777	fei_shou	4.35
15	4425000	0.212587	fei_shou	4.425
15	4500000	0.0919991	fei_shou	4.5
15	4575000	0.0696451	fei_shou	4.575
15	4650000	0.0638385	fei_shou	4.65
15	4725000	0.0316658	fei_shou	4.725
15	4800000	0.0237539	fei_shou	4.8
15	4875000	0.0229153	fei_shou	4.875
15	4950000	0.0180065	fei_shou	4.95
15	5025000	0.0182709	fei_shou	5.025
15	5100000	0.0112931	fei_shou	5.1
15	5175000	0.00672517	fei_shou	5.175
15	5250000	0.00650829	fei_shou	5.25
15	5325000	0.00704123	fei_shou	5.325
15	5400000	0.0120289	fei_shou	5.4
15	5475000	0.0116173	fei_shou	5.475
15	5550000	0.0112881	fei_shou	5.55
15	5625000	0.0119847	fei_shou	5.625
15	5700000	0.0199264	fei_shou	5.7
15	5775000	0.0166743	fei_shou	5.775
15	5850000	0.00713753	fei_shou	5.85
15	5925000	0.00690867	fei_shou	5.925
15	6e+06	0.00375703	fei_shou	6
